<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20101125,13.2561,13.3501,13.1621,13.1621,75870
FPT,20101124,13.1621,13.3501,12.9741,13.3501,95090
FPT,20101123,12.9740,13.2560,12.9740,13.1621,165780
FPT,20101122,12.5040,12.9740,12.5040,12.9740,153690
FPT,20101119,13.2560,13.2560,12.7860,12.7860,282930
FPT,20101118,13.1620,13.1620,12.8800,12.9740,177040
FPT,20101117,13.1621,13.2561,12.8801,12.8800,331060
FPT,20101116,13.1621,13.1621,12.9741,13.0681,274720
FPT,20101115,13.3501,13.5381,13.0680,13.1621,198760
FPT,20101112,13.5382,13.5382,13.2561,13.5381,263630
FPT,20101111,13.6322,13.9142,13.6322,13.6322,72750
FPT,20101110,13.8202,13.9142,13.7262,13.9142,251370
FPT,20101109,13.9142,13.9142,13.6322,13.7262,320870
FPT,20101108,14.2903,14.2903,13.6322,13.6322,248250
FPT,20101105,13.9142,14.2903,13.7262,14.2903,519640
FPT,20101104,13.6322,13.8202,13.6322,13.8202,48220
FPT,20101103,13.9142,13.9142,13.5382,13.7262,123750
FPT,20101102,13.9142,14.0082,13.7262,13.7262,126370
FPT,20101101,14.3843,14.3843,13.9142,14.0082,252080
FPT,20101029,13.9142,14.4783,13.9142,14.3843,767340
FPT,20101028,13.5382,13.8202,13.5382,13.8202,487350
FPT,20101027,13.5381,13.8202,13.5381,13.6322,563730
FPT,20101026,13.0681,13.5382,13.0681,13.4441,360540
FPT,20101025,13.0681,13.1621,12.8801,13.0681,292180
FPT,20101022,13.0681,13.0681,12.9741,13.0681,155560
FPT,20101021,13.1621,13.2561,13.0681,13.0681,211180
FPT,20101020,13.4441,13.4441,13.1621,13.2561,176310
FPT,20101019,13.5381,13.5381,13.4441,13.4441,257230
FPT,20101018,13.5381,13.5381,13.4441,13.4441,136180
FPT,20101015,13.5382,13.6322,13.3501,13.4441,345600
FPT,20101014,13.6322,13.7262,13.5382,13.7262,191890
FPT,20101013,13.4441,13.6321,13.3501,13.6322,299390
FPT,20101012,13.4441,13.5381,13.3501,13.4441,97840
FPT,20101011,13.4442,13.6322,13.4442,13.5381,120700
FPT,20101008,13.8202,13.8202,13.7262,13.7262,209350
FPT,20101007,13.3502,13.9142,13.3502,13.8202,449790
FPT,20101006,13.5381,13.6321,13.4441,13.6322,243910
FPT,20101005,13.1621,13.5381,13.1621,13.5381,307630
FPT,20101004,13.3501,13.3501,13.1621,13.3501,231740
FPT,20101001,13.5381,13.5381,13.2561,13.3501,186980
FPT,20100930,13.3501,13.4441,13.3501,13.3501,271620
FPT,20100929,13.3501,13.3501,13.1621,13.2561,223820
FPT,20100928,13.2561,13.3501,13.1621,13.3501,193510
FPT,20100927,13.3501,13.3501,13.1621,13.1621,133920
FPT,20100924,13.2561,13.4441,13.1621,13.2561,212270
FPT,20100923,13.3501,13.5381,13.2561,13.4441,273630
FPT,20100922,13.3501,13.5381,13.3501,13.4441,220980
FPT,20100921,13.8202,13.8202,13.5382,13.5381,190750
FPT,20100920,13.6322,13.8202,13.5382,13.7262,70030
FPT,20100917,13.5381,13.8201,13.5381,13.8202,168110
FPT,20100916,13.7262,13.8202,13.5382,13.5381,107460
FPT,20100915,13.8202,13.8202,13.5382,13.7262,102130
FPT,20100914,13.7262,13.8202,13.5382,13.7262,44550
FPT,20100913,14.0083,14.0083,13.5382,13.7262,88930
FPT,20100910,13.8202,13.9142,13.6322,13.6322,146040
FPT,20100909,13.8202,13.8202,13.7262,13.8202,107640
FPT,20100908,13.5382,13.7262,13.5382,13.6322,174600
FPT,20100907,13.9142,13.9142,13.7262,13.7262,286140
FPT,20100906,14.1962,14.5723,13.9142,13.9142,471980
FPT,20100901,13.9142,14.0082,13.4441,14.0082,350890
FPT,20100831,13.5381,14.1022,13.5381,14.1022,590670
FPT,20100830,13.5382,13.8202,13.4441,13.5381,192440
FPT,20100827,12.9741,13.2561,12.9741,13.1621,92270
FPT,20100826,12.8801,13.3501,12.8801,13.1621,210480
FPT,20100825,13.2561,13.2561,12.6920,13.0681,260880
FPT,20100824,13.5382,13.5382,13.1621,13.1621,244030
FPT,20100823,13.9142,13.9142,13.7261,13.7262,106720
FPT,20100820,13.5381,14.1022,13.2561,14.1022,142640
FPT,20100819,13.4442,13.6322,13.4442,13.5381,100200
FPT,20100818,13.9142,13.9142,13.6321,13.6322,61810
